customer_number,app_install_time,gender,marital_status,date_of_birth,referral_as_source_of_app_install
1,6/29/18 20:40,MALE,NA,2018-06-05,Not_through_referral
2,7/3/18 19:11,FEMALE,NA,1998-12-08,Not_through_referral
3,7/21/18 12:03,FEMALE,NA,1997-11-19,Installed_through_referral
4,7/23/18 18:22,MALE,NA,2018-01-11,Not_through_referral
5,8/3/18 1:40,MALE,NA,1982-08-19,Not_through_referral
6,6/11/18 17:45,NA,NA,1900-01-00,Not_through_referral
7,6/6/18 11:25,MALE,NA,1993-09-05,Not_through_referral
8,6/21/18 5:19,MALE,NA,2018-04-06,Not_through_referral
9,6/27/18 13:42,FEMALE,NA,2017-09-08,Installed_through_referral
10,7/1/18 21:19,MALE,NA,1998-10-16,Not_through_referral
11,7/4/18 8:25,NA,NA,1900-01-00,Not_through_referral
12,7/14/18 11:08,MALE,NA,1993-06-13,Not_through_referral
13,7/14/18 11:53,FEMALE,NA,1996-07-25,Installed_through_referral
14,7/20/18 16:32,FEMALE,NA,1994-09-12,Not_through_referral
15,7/24/18 20:53,MALE,NA,1987-05-08,Not_through_referral
16,8/9/18 13:16,FEMALE,NA,1996-03-25,Not_through_referral
17,6/3/18 17:54,MALE,NA,2018-06-03,Installed_through_referral
18,7/9/18 20:50,MALE,NA,1993-06-06,Not_through_referral
19,7/9/18 15:36,FEMALE,NA,1996-05-23,Not_through_referral
20,8/10/18 19:35,MALE,NA,1992-06-12,Not_through_referral
21,6/23/18 8:31,MALE,NA,1998-06-01,Not_through_referral
22,6/29/18 13:40,MALE,NA,1998-07-01,Not_through_referral
23,6/26/18 17:55,MALE,NA,2018-06-26,Not_through_referral
24,7/3/18 17:13,MALE,NA,1988-02-15,Installed_through_referral
25,7/8/18 22:47,MALE,NA,1992-06-08,Not_through_referral
26,7/25/18 12:34,FEMALE,NA,2017-12-21,Not_through_referral
27,8/1/18 13:16,FEMALE,NA,1999-10-29,Not_through_referral
28,8/3/18 10:07,MALE,NA,2018-08-01,Not_through_referral
29,8/7/18 13:17,FEMALE,NA,1986-12-15,Not_through_referral
30,6/21/18 12:59,MALE,NA,1981-01-13,Not_through_referral
31,6/16/18 12:10,FEMALE,NA,1999-12-16,Not_through_referral
32,6/22/18 23:03,MALE,NA,1994-07-23,Installed_through_referral
33,6/24/18 10:22,MALE,NA,1984-12-11,Not_through_referral
34,7/4/18 16:31,FEMALE,NA,1989-08-29,Not_through_referral
35,7/19/18 18:21,MALE,NA,1996-07-14,Not_through_referral
36,6/8/18 17:52,FEMALE,NA,1993-12-08,Not_through_referral
37,6/5/18 17:01,MALE,NA,1985-05-20,Not_through_referral
38,6/15/18 12:33,MALE,NA,1997-05-23,Not_through_referral
39,7/13/18 9:32,FEMALE,NA,1995-08-07,Not_through_referral
40,7/22/18 21:09,MALE,NA,1998-11-29,Not_through_referral
41,8/10/18 14:29,MALE,NA,1994-01-03,Installed_through_referral
